content_id,content_type_id,content_type_name,title,addr1,addr2,first_image,first_image2,map_x,map_y,area_code,sigungu_code,cat1,cat2,cat3,created_time,modified_time,tel,zipcode,overview,raw_data
128611,12,관광지,서울숲,서울특별시 성동구 뚝섬로 273,,http://tong.visitkorea.or.kr/cms/resource/01/3532301_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/3532301_image3_1.jpg,127.0418131384,37.5431247707,1,16,A02,A0202,A02020700,20050927090000,20250905142226,,04770,,"{""addr1"": ""서울특별시 성동구 뚝섬로 273"", ""addr2"": """", ""areacode"": ""1"", ""cat1"": ""A02"", ""cat2"": ""A0202"", ""cat3"": ""A02020700"", ""contentid"": ""128611"", ""contenttypeid"": ""12"", ""createdtime"": ""20050927090000"", ""firstimage"": ""http://tong.visitkorea.or.kr/cms/resource/01/3532301_image2_1.jpg"", ""firstimage2"": ""http://tong.visitkorea.or.kr/cms/resource/01/3532301_image3_1.jpg"", ""cpyrhtDivCd"": ""Type1"", ""mapx"": ""127.0418131384"", ""mapy"": ""37.5431247707"", ""mlevel"": ""6"", ""modifiedtime"": ""20250905142226"", ""sigungucode"": ""16"", ""tel"": """", ""title"": ""서울숲"", ""zipcode"": ""04770"", ""lDongRegnCd"": ""11"", ""lDongSignguCd"": ""200"", ""lclsSystm1"": ""VE"", ""lclsSystm2"": ""VE03"", ""lclsSystm3"": ""VE030100""}"
126521,12,관광지,국립서울현충원,서울특별시 동작구 현충로 210,,http://tong.visitkorea.or.kr/cms/resource/71/3531571_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/3531571_image3_1.jpg,126.9732511193,37.5013561691,1,12,A02,A0201,A02010700,20020510090000,20250904094644,,06984,,"{""addr1"": ""서울특별시 동작구 현충로 210"", ""addr2"": """", ""areacode"": ""1"", ""cat1"": ""A02"", ""cat2"": ""A0201"", ""cat3"": ""A02010700"", ""contentid"": ""126521"", ""contenttypeid"": ""12"", ""createdtime"": ""20020510090000"", ""firstimage"": ""http://tong.visitkorea.or.kr/cms/resource/71/3531571_image2_1.jpg"", ""firstimage2"": ""http://tong.visitkorea.or.kr/cms/resource/71/3531571_image3_1.jpg"", ""cpyrhtDivCd"": ""Type3"", ""mapx"": ""126.9732511193"", ""mapy"": ""37.5013561691"", ""mlevel"": ""6"", ""modifiedtime"": ""20250904094644"", ""sigungucode"": ""12"", ""tel"": """", ""title"": ""국립서울현충원"", ""zipcode"": ""06984"", ""lDongRegnCd"": ""11"", ""lDongSignguCd"": ""590"", ""lclsSystm1"": ""HS"", ""lclsSystm2"": ""HS01"", ""lclsSystm3"": ""HS011200""}"
2764354,12,관광지,다락원체육공원,서울특별시 도봉구 창포원로 45 (도봉동),,http://tong.visitkorea.or.kr/cms/resource/48/3531548_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/3531548_image3_1.jpg,127.0472806389,37.6914909527,1,10,A02,A0202,A02020700,20211028184216,20250904092605,,01318,,"{""addr1"": ""서울특별시 도봉구 창포원로 45 (도봉동)"", ""addr2"": """", ""areacode"": ""1"", ""cat1"": ""A02"", ""cat2"": ""A0202"", ""cat3"": ""A02020700"", ""contentid"": ""2764354"", ""contenttypeid"": ""12"", ""createdtime"": ""20211028184216"", ""firstimage"": ""http://tong.visitkorea.or.kr/cms/resource/48/3531548_image2_1.jpg"", ""firstimage2"": ""http://tong.visitkorea.or.kr/cms/resource/48/3531548_image3_1.jpg"", ""cpyrhtDivCd"": ""Type3"", ""mapx"": ""127.0472806389"", ""mapy"": ""37.6914909527"", ""mlevel"": ""6"", ""modifiedtime"": ""20250904092605"", ""sigungucode"": ""10"", ""tel"": """", ""title"": ""다락원체육공원"", ""zipcode"": ""01318"", ""lDongRegnCd"": ""11"", ""lDongSignguCd"": ""320"", ""lclsSystm1"": ""VE"", ""lclsSystm2"": ""VE03"", ""lclsSystm3"": ""VE030500""}"
127525,12,관광지,몽촌토성,서울특별시 송파구 올림픽로 424,,,,127.1229758237,37.5209871362,1,18,A02,A0201,A02010200,20030627090000,20250903194253,,05540,,"{""addr1"": ""서울특별시 송파구 올림픽로 424"", ""addr2"": """", ""areacode"": ""1"", ""cat1"": ""A02"", ""cat2"": ""A0201"", ""cat3"": ""A02010200"", ""contentid"": ""127525"", ""contenttypeid"": ""12"", ""createdtime"": ""20030627090000"", ""firstimage"": """", ""firstimage2"": """", ""cpyrhtDivCd"": """", ""mapx"": ""127.1229758237"", ""mapy"": ""37.5209871362"", ""mlevel"": ""6"", ""modifiedtime"": ""20250903194253"", ""sigungucode"": ""18"", ""tel"": """", ""title"": ""몽촌토성"", ""zipcode"": ""05540"", ""lDongRegnCd"": ""11"", ""lDongSignguCd"": ""710"", ""lclsSystm1"": ""HS"", ""lclsSystm2"": ""HS01"", ""lclsSystm3"": ""HS010200""}"
126520,12,관광지,서울 풍납동 토성,서울특별시 송파구 풍납동,73-1,,,127.1207171711,37.5394516183,1,18,A02,A0201,A02010200,20020402090000,20250903193339,,05512,,"{""addr1"": ""서울특별시 송파구 풍납동"", ""addr2"": ""73-1"", ""areacode"": ""1"", ""cat1"": ""A02"", ""cat2"": ""A0201"", ""cat3"": ""A02010200"", ""contentid"": ""126520"", ""contenttypeid"": ""12"", ""createdtime"": ""20020402090000"", ""firstimage"": """", ""firstimage2"": """", ""cpyrhtDivCd"": """", ""mapx"": ""127.1207171711"", ""mapy"": ""37.5394516183"", ""mlevel"": ""6"", ""modifiedtime"": ""20250903193339"", ""sigungucode"": ""18"", ""tel"": """", ""title"": ""서울 풍납동 토성"", ""zipcode"": ""05512"", ""lDongRegnCd"": ""11"", ""lDongSignguCd"": ""710"", ""lclsSystm1"": ""HS"", ""lclsSystm2"": ""HS01"", ""lclsSystm3"": ""HS010200""}"
127466,12,관광지,서울 석촌동 고분군,서울특별시 송파구 가락로7길 21 (석촌동),,,,127.1028642979,37.5022111756,1,18,A02,A0201,A02010700,20030630090000,20250903183122,,05682,,"{""addr1"": ""서울특별시 송파구 가락로7길 21 (석촌동)"", ""addr2"": """", ""areacode"": ""1"", ""cat1"": ""A02"", ""cat2"": ""A0201"", ""cat3"": ""A02010700"", ""contentid"": ""127466"", ""contenttypeid"": ""12"", ""createdtime"": ""20030630090000"", ""firstimage"": """", ""firstimage2"": """", ""cpyrhtDivCd"": """", ""mapx"": ""127.1028642979"", ""mapy"": ""37.5022111756"", ""mlevel"": ""6"", ""modifiedtime"": ""20250903183122"", ""sigungucode"": ""18"", ""tel"": """", ""title"": ""서울 석촌동 고분군"", ""zipcode"": ""05682"", ""lDongRegnCd"": ""11"", ""lDongSignguCd"": ""710"", ""lclsSystm1"": ""HS"", ""lclsSystm2"": ""HS01"", ""lclsSystm3"": ""HS010800""}"
126526,12,관광지,서울 태릉(문정왕후)과 강릉(명종·인순왕후) [유네스코 세계유산],서울특별시 노원구 화랑로 681,,,,127.0971582841,37.6341401904,1,9,A02,A0201,A02010700,20040227090000,20250903180658,,01794,,"{""addr1"": ""서울특별시 노원구 화랑로 681"", ""addr2"": """", ""areacode"": ""1"", ""cat1"": ""A02"", ""cat2"": ""A0201"", ""cat3"": ""A02010700"", ""contentid"": ""126526"", ""contenttypeid"": ""12"", ""createdtime"": ""20040227090000"", ""firstimage"": """", ""firstimage2"": """", ""cpyrhtDivCd"": """", ""mapx"": ""127.0971582841"", ""mapy"": ""37.6341401904"", ""mlevel"": ""6"", ""modifiedtime"": ""20250903180658"", ""sigungucode"": ""9"", ""tel"": """", ""title"": ""서울 태릉(문정왕후)과 강릉(명종·인순왕후) [유네스코 세계유산]"", ""zipcode"": ""01794"", ""lDongRegnCd"": ""11"", ""lDongSignguCd"": ""350"", ""lclsSystm1"": ""HS"", ""lclsSystm2"": ""HS01"", ""lclsSystm3"": ""HS010800""}"
3074841,12,관광지,라움아트센터,서울특별시 강남구 언주로 564 (역삼동),,http://tong.visitkorea.or.kr/cms/resource/83/3530883_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/3530883_image3_1.jpg,127.0394226796,37.5081871185,1,1,A02,A0203,A02030400,20230925121134,20250903131524,,06143,,"{""addr1"": ""서울특별시 강남구 언주로 564 (역삼동)"", ""addr2"": """", ""areacode"": ""1"", ""cat1"": ""A02"", ""cat2"": ""A0203"", ""cat3"": ""A02030400"", ""contentid"": ""3074841"", ""contenttypeid"": ""12"", ""createdtime"": ""20230925121134"", ""firstimage"": ""http://tong.visitkorea.or.kr/cms/resource/83/3530883_image2_1.jpg"", ""firstimage2"": ""http://tong.visitkorea.or.kr/cms/resource/83/3530883_image3_1.jpg"", ""cpyrhtDivCd"": ""Type3"", ""mapx"": ""127.0394226796"", ""mapy"": ""37.5081871185"", ""mlevel"": ""6"", ""modifiedtime"": ""20250903131524"", ""sigungucode"": ""1"", ""tel"": """", ""title"": ""라움아트센터"", ""zipcode"": ""06143"", ""lDongRegnCd"": ""11"", ""lDongSignguCd"": ""680"", ""lclsSystm1"": ""VE"", ""lclsSystm2"": ""VE12"", ""lclsSystm3"": ""VE120300""}"
482153,12,관광지,청룡사(서울),서울특별시 종로구 동망산길 65 (숭인동),,http://tong.visitkorea.or.kr/cms/resource/73/3530773_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/3530773_image3_1.jpg,127.0168643719,37.5797783958,1,23,A02,A0201,A02010800,20080223000414,20250903093446,,03107,,"{""addr1"": ""서울특별시 종로구 동망산길 65 (숭인동)"", ""addr2"": """", ""areacode"": ""1"", ""cat1"": ""A02"", ""cat2"": ""A0201"", ""cat3"": ""A02010800"", ""contentid"": ""482153"", ""contenttypeid"": ""12"", ""createdtime"": ""20080223000414"", ""firstimage"": ""http://tong.visitkorea.or.kr/cms/resource/73/3530773_image2_1.jpg"", ""firstimage2"": ""http://tong.visitkorea.or.kr/cms/resource/73/3530773_image3_1.jpg"", ""cpyrhtDivCd"": ""Type1"", ""mapx"": ""127.0168643719"", ""mapy"": ""37.5797783958"", ""mlevel"": ""6"", ""modifiedtime"": ""20250903093446"", ""sigungucode"": ""23"", ""tel"": """", ""title"": ""청룡사(서울)"", ""zipcode"": ""03107"", ""lDongRegnCd"": ""11"", ""lDongSignguCd"": ""110"", ""lclsSystm1"": ""HS"", ""lclsSystm2"": ""HS03"", ""lclsSystm3"": ""HS030100""}"
250396,12,관광지,서울 의릉(경종·선의왕후) [유네스코 세계유산],서울특별시 성북구 화랑로32길 146-20 (석관동),,,,127.0594514371,37.6051289940,1,17,A02,A0201,A02010700,20071025090000,20250902164935,,02789,,"{""addr1"": ""서울특별시 성북구 화랑로32길 146-20 (석관동)"", ""addr2"": """", ""areacode"": ""1"", ""cat1"": ""A02"", ""cat2"": ""A0201"", ""cat3"": ""A02010700"", ""contentid"": ""250396"", ""contenttypeid"": ""12"", ""createdtime"": ""20071025090000"", ""firstimage"": """", ""firstimage2"": """", ""cpyrhtDivCd"": """", ""mapx"": ""127.0594514371"", ""mapy"": ""37.6051289940"", ""mlevel"": ""6"", ""modifiedtime"": ""20250902164935"", ""sigungucode"": ""17"", ""tel"": """", ""title"": ""서울 의릉(경종·선의왕후) [유네스코 세계유산]"", ""zipcode"": ""02789"", ""lDongRegnCd"": ""11"", ""lDongSignguCd"": ""290"", ""lclsSystm1"": ""HS"", ""lclsSystm2"": ""HS01"", ""lclsSystm3"": ""HS010800""}"
